Name,URL,Image,Stars,Prices,Stock
Zapatillas Falcon,/zapatillas-falcon/CG6246.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw83c84fbb/zoom/CG6246_00_plp_standard.jpg?sw=230&strip=false,5,329,Yes
Zapatillas EQT Support Mid ADV Primeknit Dragonball Z,/zapatillas-eqt-support-mid-adv-primeknit-dragonball-z/D97056.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwe7f79485/zoom/D97056_00_plp_standard.jpg?sw=230&strip=false,Not Ranked,479,Yes
Chimpunes X 18.3 TF,/chimpunes-x-18.3-tf/BB9398.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw11ca44b1/zoom/BB9398_00_plp_standard.jpg?sw=230&strip=false,4,349,Yes
Chimpunes Nemeziz Tango 18.1,/chimpunes-nemeziz-tango-18.1/D98019.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0acaaa4d/zoom/D98019_00_plp_standard.jpg?sw=230&strip=false,5,499,Yes
Sandalias ADILETTE SHOWER,/sandalias-adilette-shower/AQ1701.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4cceee6d/zoom/AQ1701_00_plp_standard.jpg?sw=230&strip=false,5,99,Yes
Zapatillas galaxy 4 m,/zapatillas-galaxy-4-m/B43804.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw8dcce803/zoom/B43804_00_plp_standard.jpg?sw=230&strip=false,4,189,Yes
Chimpunes Nemeziz Tango 18.1,/chimpunes-nemeziz-tango-18.1/BD7647.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw84642dde/zoom/BD7647_00_plp_standard.jpg?sw=230&strip=false,5,499,Yes
Zapatillas Falcon Mujer,/zapatillas-falcon-mujer/B28129.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw2dd80ea9/zoom/B28129_00_plp_standard.jpg?sw=230&strip=false,5,329,Yes
Polera con capucha Trifolio Solid,/polera-con-capucha-trifolio-solid/CW2358.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw3c8d9bd1/zoom/CW2358_000_plp_model.jpg?sw=230&strip=false,5,149,Yes
Zapatillas Stan Smith,/zapatillas-stan-smith/M20324.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw53ecfccf/zoom/M20324_00_plp_standard.jpg?sw=230&strip=false,5,259,Yes
Chimpunes NEMEZIZ 18 3 IN,/chimpunes-nemeziz-18-3-in/D97989.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf01f5d81/zoom/D97989_00_plp_standard.jpg?sw=230&strip=false,5,349,Yes
Zapatillas Falcon,/zapatillas-falcon/CG6247.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw1b0e9261/zoom/CG6247_00_plp_standard.jpg?sw=230&strip=false,5,329,Yes
Chimpunes Nemeziz Messi Tango 18.3 Bajo Techo,/chimpunes-nemeziz-messi-tango-18.3-bajo-techo/D97269.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw87bbc137/zoom/D97269_00_plp_standard.jpg?sw=230&strip=false,5,349,Yes
GRAPHIC SWEATSHIRT (LONG SLEEVE) CLLGE  HD,/graphic-sweatshirt-long-sleeve-cllge--hd/DH3917.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwe9663ca5/zoom/DH3917_000_plp_model.jpg?sw=230&strip=false,5,179,Yes
Zapatillas VS Advantage Clean,/zapatillas-vs-advantage-clean/DB0581.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw93ec513d/zoom/DB0581_00_plp_standard.jpg?sw=230&strip=false,5,199,Yes
Chimpunes X 18 3 IN,/chimpunes-x-18-3-in/BB9391.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb797a81f/zoom/BB9391_00_plp_standard.jpg?sw=230&strip=false,5,349,Yes
Zapatillas TERREX Tracerocker,/zapatillas-terrex-tracerocker/AC7943.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwa41b1786/zoom/AC7943_00_plp_standard.jpg?sw=230&strip=false,5,249,Yes
Zapatillas Alphabounce RC,/zapatillas-alphabounce-rc/CG5123.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf65a783c/zoom/CG5123_00_plp_standard.jpg?sw=230&strip=false,5,359,Yes
Zapatillas DURAMO LITE 2.0,/zapatillas-duramo-lite-2.0/B75584.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw83ddd714/zoom/B75584_00_plp_standard.jpg?sw=230&strip=false,4,179,Yes
